route_link_id,from_stop,to_stop,distance,source_file
RL_21-R68-_-y05-58885-I-1-39,490009670E,490010049N,256,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-40,490010049N,490016329N,212,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-41,490016329N,490016328W,669,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-42,490016328W,490018678W,60,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-43,490018678W,490016327N,184,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-44,490016327N,490016326S,403,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-1,490016326S,490016327S,384,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-2,490016327S,490018678E,240,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-3,490018678E,490016328S,198,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-4,490016328S,490016329S,494,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-5,490016329S,490010049W,177,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-6,490010049W,490009561W,383,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-7,490009561W,490009547SB,479,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-8,490009547SB,490012048SK,202,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-9,490012048SK,490011557W,360,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-10,490011557W,490000192S,382,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-11,490000192S,490013511F,155,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-12,490013511F,490011556J,498,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-13,490011556J,490005755W,657,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-14,490005755W,490004705W,211,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-15,490004705W,490012460S,278,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-16,490012460S,490005841T,312,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-17,490005841T,490018556E,279,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-18,490018556E,490009053W,320,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-19,490009053W,490015022W,332,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-20,490015022W,490001148Z,278,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-21,490001148Z,490011104S,358,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-22,490011104S,490009848S,378,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-23,490009848S,490009527ST,259,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-24,490009527ST,490007558S,561,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-25,490007558S,490009577S,90,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-26,490009577S,490012507W,482,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-27,490012507W,490004709W,297,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-28,490004709W,490013172D,231,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-29,490013172D,490004377F,381,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-30,490004377F,490013175W,272,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-31,490013175W,490010157W,263,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-32,490010157W,490010685W,421,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-33,490010685W,490010806S,393,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-34,490010806S,490007732S,230,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-35,490007732S,490007733S,276,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-36,490007733S,490013975S,380,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-37,490013975S,490007736S,419,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-38,490007736S,490010757S,256,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-39,490010757S,490007725S,203,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-40,490007725S,490007125E,248,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-41,490007125E,490012423E,305,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-42,490012423E,490013570E,413,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-43,490013570E,490007734E,389,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-44,490007734E,490007713D,219,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-45,490007713D,490007729F,208,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-O-2-46,490007729F,40004405136E,302,tfl_21-R68-_-y05-58885.xml
RL_21-R68-_-y05-58885-I-1-1,40004405136E,490007713E,379,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-2,490007713E,490007734W,262,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-3,490007734W,490013570W,423,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-4,490013570W,490007125W,506,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-5,490007125W,490007725N,344,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-6,490007725N,490010757N,238,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-7,490010757N,490007736N,287,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-8,490007736N,490013975N,501,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-9,490013975N,490007733N,256,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-10,490007733N,490007732N,107,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-11,490007732N,490010806N,314,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-12,490010806N,490008814E,339,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-13,490008814E,490010685E,209,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-14,490010685E,490010157E,188,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-15,490010157E,490013175E,353,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-16,490013175E,490004377E,289,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-17,490004377E,490013172C,281,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-18,490013172C,490004709E,399,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-19,490004709E,490013174E,238,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-20,490013174E,490009577N,449,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-21,490009577N,490007558N,177,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-22,490007558N,490009527SV,460,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-23,490009527SV,490009848N,138,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-24,490009848N,490011104N,401,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-25,490011104N,490011148R,425,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-26,490011148R,490015022H,395,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-27,490015022H,490009053E,320,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-28,490009053E,490005841R,199,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-29,490005841R,490005841U,396,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-30,490005841U,490012460N,313,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-31,490012460N,490005755E,399,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-32,490005755E,490007166B,727,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-33,490007166B,490013511C,316,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-34,490013511C,490011557E,541,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-35,490011557E,490012048E,200,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-36,490012048E,490009547SA,317,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-37,490009547SA,490015035SL,223,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-38,490015035SL,490009670E,330,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-39,490009670E,490010049N,256,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-40,490010049N,490016329N,212,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-41,490016329N,490016328W,669,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-42,490016328W,490018678W,60,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-43,490018678W,490016327N,184,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-I-1-44,490016327N,490016326S,403,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-1,490016326S,490016327S,384,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-2,490016327S,490018678E,240,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-3,490018678E,490016328S,198,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-4,490016328S,490016329S,494,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-5,490016329S,490010049W,177,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-6,490010049W,490009561W,383,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-7,490009561W,490009547SB,479,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-8,490009547SB,490012048SK,202,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-9,490012048SK,490011557W,360,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-10,490011557W,490000192S,382,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-11,490000192S,490013511F,155,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-12,490013511F,490011556J,498,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-13,490011556J,490005755W,657,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-14,490005755W,490004705W,211,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-15,490004705W,490012460S,278,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-16,490012460S,490005841T,312,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-17,490005841T,490018556E,279,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-18,490018556E,490009053W,320,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-19,490009053W,490015022W,332,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-20,490015022W,490001148Z,278,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-21,490001148Z,490011104S,358,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-22,490011104S,490009848S,378,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-23,490009848S,490009527ST,259,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-24,490009527ST,490007558S,561,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-25,490007558S,490009577S,90,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-26,490009577S,490012507W,482,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-27,490012507W,490004709W,297,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-28,490004709W,490013172D,231,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-29,490013172D,490004377F,381,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-30,490004377F,490013175W,272,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-31,490013175W,490010157W,263,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-32,490010157W,490010685W,421,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-33,490010685W,490010806S,393,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-34,490010806S,490007732S,230,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-35,490007732S,490007733S,276,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-36,490007733S,490013975S,380,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-37,490013975S,490007736S,419,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-38,490007736S,490010757S,256,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-39,490010757S,490007725S,203,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-40,490007725S,490007125E,248,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-41,490007125E,490012423E,305,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-42,490012423E,490013570E,413,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-43,490013570E,490007734E,389,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-44,490007734E,490007713D,219,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-45,490007713D,490007729F,208,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-R68-_-y05-58885-O-2-46,490007729F,40004405136E,302,tfl_21-R68-_-y05-58885_glMYlIz.xml
RL_21-S1-_-y05-59996-I-1-1,490020189N,490020190N,335,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-2,490020190N,490009286S,511,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-3,490009286S,490013565S2,368,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-4,490013565S2,490006164B,505,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-5,490006164B,490009949Y,222,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-6,490009949Y,490007213M,293,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-7,490007213M,490009944V,412,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-8,490009944V,490009952S,200,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-9,490009952S,490014723E,254,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-10,490014723E,490004824E,337,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-11,490004824E,490001194A,293,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-12,490001194A,490013377S,484,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-13,490013377S,490009898S,208,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-14,490009898S,490009898W,98,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-15,490009898W,490012719N,1345,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-16,490012719N,490007519S,619,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-17,490007519S,490009860S2,174,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-18,490009860S2,490010186S,324,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-19,490010186S,490015405RJ,305,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-20,490015405RJ,490015406RK,258,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-21,490015406RK,490012718HB,513,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-22,490012718HB,490014339S,334,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-23,490014339S,490010129S,343,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-24,490010129S,490011149S,429,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-25,490011149S,490010624W,630,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-26,490010624W,490012566W,561,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-27,490012566W,490013073W,415,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-28,490013073W,490013072B,242,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-29,490013072B,490013062C,219,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-30,490013062C,490003892E,187,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-31,490003892E,490009575I,203,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-32,490009575I,490013679J,206,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-33,490013679J,490013081K,272,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-34,490013081K,490001286O,486,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-35,490001286O,490004887S,318,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-36,490004887S,490007987E,334,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-37,490007987E,490003293E,140,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-38,490003293E,490019635E,1445,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-39,490019635E,490013075J,136,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-40,490013075J,490006184F,396,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-41,490006184F,40004409033B,424,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-42,40004409033B,40004409034B,418,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-43,40004409034B,40004409035B,505,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-44,40004409035B,40004409036B,527,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-45,40004409036B,40004409045B,431,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-46,40004409045B,40004409046B,254,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-I-1-47,40004409046B,40004409047B,289,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-1,40004409047A,40004409046A,289,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-2,40004409046A,40004409045A,352,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-3,40004409045A,40004409036A,379,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-4,40004409036A,40004409035A,638,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-5,40004409035A,40004409034A,404,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-6,40004409034A,40004409033A,428,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-7,40004409033A,490006184E,349,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-8,490006184E,490013075G,369,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-9,490013075G,490003293W,1201,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-10,490003293W,490013060N,428,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-11,490013060N,490013082R,235,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-12,490013082R,490013064V,427,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-13,490013064V,490011856W,403,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-14,490011856W,490005844Y,318,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-15,490005844Y,490010724E,1281,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-16,490010724E,490006630E,524,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-17,490006630E,490011149N,294,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-18,490011149N,490010129N,295,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-19,490010129N,490014339N,395,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-20,490014339N,490012718HA,579,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-21,490012718HA,490015406RL,518,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-22,490015406RL,490015405RH,327,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-23,490015405RH,490010186N,178,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-24,490010186N,490009860N,241,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-25,490009860N,490012719S,773,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-26,490012719S,490003118E,1108,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-27,490003118E,490013377N,501,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-28,490013377N,490001194B,521,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-29,490001194B,490004824W,244,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-30,490004824W,490014723W,391,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-31,490014723W,490009952T,352,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-32,490009952T,490009946P,628,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-33,490009946P,490007213N1,224,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-34,490007213N1,490009949Z,598,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-35,490009949Z,490006164A,121,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-36,490006164A,490013565N2,303,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-37,490013565N2,490009286N,499,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-38,490009286N,490020190S,503,tfl_21-S1-_-y05-59996.xml
RL_21-S1-_-y05-59996-O-2-39,490020190S,490020189N,359,tfl_21-S1-_-y05-59996.xml
