stop_point_ref,common_name,source_file
490002178Z,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
490002177Z,Shaftesbury Lane (->E) Coulsdon,404-21-404-_-y05-2_1.xml
490002176Z,Salter Close (->E) Coulsdon,404-21-404-_-y05-2_1.xml
490002175Z,Tullick Way (->E) Coulsdon,404-21-404-_-y05-2_1.xml
490002174Z,Lime Tree Avenue (->S) Coulsdon,404-21-404-_-y05-2_1.xml
490002189Z,Farthing Way (->N) Coulsdon,404-21-404-_-y05-2_1.xml
490001253B,Coulsdon Town (Stop B) Coulsdon,404-21-404-_-y05-2_1.xml
490005637C,Coulsdon Library (Stop C) Coulsdon,404-21-404-_-y05-2_1.xml
490009202D,Lion Green Road (Stop D) Coulsdon,404-21-404-_-y05-2_1.xml
490001072M,Coulsdon South (Stop M) Coulsdon South,404-21-404-_-y05-2_1.xml
490006183H,Downs Road (Stop N) Coulsdon South,404-21-404-_-y05-2_1.xml
490009684N,Marlpit Lane (->N) Coulsdon South,404-21-404-_-y05-2_1.xml
490010285E,Nineacres Way (->E) Coulsdon South,404-21-404-_-y05-2_1.xml
490011820E,Coulsdon Wood (->E) Coulsdon South,404-21-404-_-y05-2_1.xml
49003176N1,Aldercroft (->N1) Coulsdon South,404-21-404-_-y05-2_1.xml
490004116N,Blueberry Gardens (->N) Coulsdon South,404-21-404-_-y05-2_1.xml
490005639S,Coulsdon Court Road (->S) Coulsdon South,404-21-404-_-y05-2_1.xml
490012649W,Oasis Academy Byron (->W) Old Coulsdon,404-21-404-_-y05-2_1.xml
490005641S,Coulsdon Rise (->S) Coulsdon South,404-21-404-_-y05-2_1.xml
490013199E,Army Reserve Centre (Stop F) Old Coulsdon,404-21-404-_-y05-2_1.xml
490010535S,Old Coulsdon / Tudor Rose (Stop H) Old Coulsdon,404-21-404-_-y05-2_1.xml
490013317S2,The Crossways (Stop J) Old Coulsdon,404-21-404-_-y05-2_1.xml
490002184Z,Tollers Lane / Curling Close (->S) Old Coulsdon,404-21-404-_-y05-2_1.xml
490002180Z,Lacey Green / Goodenough Way (->W) Old Coulsdon,404-21-404-_-y05-2_1.xml
490002179Z,Middle Close (->W) Old Coulsdon,404-21-404-_-y05-2_1.xml
490002181Z,The Admirals Walk (->N) Old Coulsdon,404-21-404-_-y05-2_1.xml
490002182Z,Ellis Road (->E) Old Coulsdon,404-21-404-_-y05-2_1.xml
490002183Z,Lacey Green / Ellis Road (->E) Old Coulsdon,404-21-404-_-y05-2_1.xml
490002185Z,Tollers Lane / Drive Road (->N) Old Coulsdon,404-21-404-_-y05-2_1.xml
490015542S1,The Crossways (Stop M) Old Coulsdon,404-21-404-_-y05-2_1.xml
490005649E,Keston Avenue (Stop P) Old Coulsdon,404-21-404-_-y05-2_1.xml
490008679N,The Glade / Keston Avenue (Stop R) Old Coulsdon,404-21-404-_-y05-2_1.xml
490015305W,The Glade (->E) Old Coulsdon,404-21-404-_-y05-2_1.xml
490007931E,Caterham Drive / Keston Avenue (->E) Old Coulsdon,404-21-404-_-y05-2_1.xml
490014106S1,Caterham Drive /Waddington Ave (->S) Old Coulsdon,404-21-404-_-y05-2_1.xml
490004859S,Taunton Lane (CR5) (->W) Old Coulsdon,404-21-404-_-y05-2_1.xml
490012093S,Shirley Avenue (->S) Old Coulsdon,404-21-404-_-y05-2_1.xml
490008324S,Waddington Avenue/Homefield Rd (Stop S) Old Coulsdon,404-21-404-_-y05-2_1.xml
490014107E,Homefield Road (E-bound) Old Coulsdon,404-21-404-_-y05-2_1.xml
490008895W,Lacey Drive (->W) Old Coulsdon,404-21-404-_-y05-2_1.xml
490005638S,Coulsdon Common / The Fox (->S) Old Coulsdon,404-21-404-_-y05-2_1.xml
40004410093B,The Grove (opp) Caterham,404-21-404-_-y05-2_1.xml
40004410091B,The Village (SE-bound) Caterham,404-21-404-_-y05-2_1.xml
40004410038A,Yorke Gate (opp) Caterham,404-21-404-_-y05-2_1.xml
40004410037A,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
40004410088B,Douglas Brunton Day Centre (adj) Caterham,404-21-404-_-y05-2_1.xml
40004410089B,Coulsdon Road (opp) Caterham,404-21-404-_-y05-2_1.xml
40004410090A,Hambledon Road (adj) Caterham,404-21-404-_-y05-2_1.xml
40004410091A,The Village (NW-bound) Caterham,404-21-404-_-y05-2_1.xml
40004410092A,Windmill Close (opp) Caterham,404-21-404-_-y05-2_1.xml
40004410093A,The Grove (adj) Caterham,404-21-404-_-y05-2_1.xml
490005638N,Coulsdon Common / The Fox (->N) Old Coulsdon,404-21-404-_-y05-2_1.xml
490008895N,Coulsdon Road / Lacey Drive (->N) Old Coulsdon,404-21-404-_-y05-2_1.xml
490008495E,Lacey Drive (->E) Old Coulsdon,404-21-404-_-y05-2_1.xml
490014107N,Homefield Road (N-bound) Old Coulsdon,404-21-404-_-y05-2_1.xml
490008324N,Waddington Avenue/Homefield Rd (Stop T) Old Coulsdon,404-21-404-_-y05-2_1.xml
490014106S2,Caterham Drive /Waddington Ave (->N) Old Coulsdon,404-21-404-_-y05-2_1.xml
490007931W,Caterham Drive / Keston Avenue (->W) Old Coulsdon,404-21-404-_-y05-2_1.xml
490015305W1,The Glade (->W) Old Coulsdon,404-21-404-_-y05-2_1.xml
490008679S,The Glade / Keston Avenue (->S) Old Coulsdon,404-21-404-_-y05-2_1.xml
490005649W,Keston Avenue (Stop U) Old Coulsdon,404-21-404-_-y05-2_1.xml
490013317N,The Crossways (Stop B) Old Coulsdon,404-21-404-_-y05-2_1.xml
490010535N,Old Coulsdon / Tudor Rose (Stop C) Old Coulsdon,404-21-404-_-y05-2_1.xml
490013199W,Army Reserve Centre (Stop E) Old Coulsdon,404-21-404-_-y05-2_1.xml
490005641N,Coulsdon Rise (->N) Coulsdon South,404-21-404-_-y05-2_1.xml
490012649E,Oasis Academy Byron (->E) Old Coulsdon,404-21-404-_-y05-2_1.xml
490005639N,Coulsdon Court Road (->N) Coulsdon South,404-21-404-_-y05-2_1.xml
490004667S,Byron Avenue (CR5) (->S) Coulsdon,404-21-404-_-y05-2_1.xml
490004116S,Blueberry Gardens (->S) Coulsdon South,404-21-404-_-y05-2_1.xml
490011820W,Coulsdon Wood (->W) Coulsdon South,404-21-404-_-y05-2_1.xml
490010285W,Nineacres Way (->W) Coulsdon South,404-21-404-_-y05-2_1.xml
490009684S,Marlpit Lane (->S) Coulsdon South,404-21-404-_-y05-2_1.xml
490001072P,Coulsdon South (Stop P) Coulsdon South,404-21-404-_-y05-2_1.xml
490002174Y,Lime Tree Avenue (->N) Coulsdon,404-21-404-_-y05-2_1.xml
490002175Y,Tullick Way (->W) Coulsdon,404-21-404-_-y05-2_1.xml
490002176Y,Salter Close (->W) Coulsdon,404-21-404-_-y05-2_1.xml
490002177Y,Shaftesbury Lane (->W) Coulsdon,404-21-404-_-y05-2_1.xml
490013199W,Territorial Army Centre,tfl_21-404-_-y05-6_qyPH39c.xml
490001072M,Coulsdon South,tfl_21-404-_-y05-6_qyPH39c.xml
490001072P,Coulsdon South,tfl_21-404-_-y05-6_qyPH39c.xml
490001253B,Coulsdon Town,tfl_21-404-_-y05-6_qyPH39c.xml
490002174Y,Lime Tree Avenue,tfl_21-404-_-y05-6_qyPH39c.xml
490002174Z,Lime Tree Avenue,tfl_21-404-_-y05-6_qyPH39c.xml
490002175Z,Tullick Way,tfl_21-404-_-y05-6_qyPH39c.xml
490002175Y,Tullick Way,tfl_21-404-_-y05-6_qyPH39c.xml
490002176Z,Salter Close,tfl_21-404-_-y05-6_qyPH39c.xml
490002176Y,Salter Close,tfl_21-404-_-y05-6_qyPH39c.xml
490002177Z,Shaftesbury Lane,tfl_21-404-_-y05-6_qyPH39c.xml
490002177Y,Shaftesbury Lane,tfl_21-404-_-y05-6_qyPH39c.xml
490002178Z,Crawford Crescent,tfl_21-404-_-y05-6_qyPH39c.xml
490002179Z,Middle Close,tfl_21-404-_-y05-6_qyPH39c.xml
490002180Z,Lacey Green / Goodenough Way,tfl_21-404-_-y05-6_qyPH39c.xml
490002181Z,The Admirals Walk,tfl_21-404-_-y05-6_qyPH39c.xml
490002182Z,Ellis Road,tfl_21-404-_-y05-6_qyPH39c.xml
490002183Z,Lacey Green / Ellis Road,tfl_21-404-_-y05-6_qyPH39c.xml
490002184Z,Tollers Lane / Curling Close,tfl_21-404-_-y05-6_qyPH39c.xml
490002185Z,Tollers Lane / Drive Road,tfl_21-404-_-y05-6_qyPH39c.xml
490002189Z,Farthing Way,tfl_21-404-_-y05-6_qyPH39c.xml
49003176N1,Aldercroft,tfl_21-404-_-y05-6_qyPH39c.xml
490004116N,Blueberry Gardens,tfl_21-404-_-y05-6_qyPH39c.xml
490004116S,Blueberry Gardens,tfl_21-404-_-y05-6_qyPH39c.xml
490004667S,Byron Avenue (CR5),tfl_21-404-_-y05-6_qyPH39c.xml
40004410090A,Hambledon Road,tfl_21-404-_-y05-6_qyPH39c.xml
40004410091A,Caterham-on-the-Hill / Tesco,tfl_21-404-_-y05-6_qyPH39c.xml
40004410091B,Caterham-on-the-Hill / Tesco,tfl_21-404-_-y05-6_qyPH39c.xml
490004859S,Taunton Lane (CR5),tfl_21-404-_-y05-6_qyPH39c.xml
40004410089B,Court Road (CR3),tfl_21-404-_-y05-6_qyPH39c.xml
490005638N,Coulsdon Common / The Fox,tfl_21-404-_-y05-6_qyPH39c.xml
490005638S,Coulsdon Common / The Fox,tfl_21-404-_-y05-6_qyPH39c.xml
490005639N,Coulsdon Court Road,tfl_21-404-_-y05-6_qyPH39c.xml
490005639S,Coulsdon Court Road,tfl_21-404-_-y05-6_qyPH39c.xml
490005637C,Coulsdon Library,tfl_21-404-_-y05-6_qyPH39c.xml
490005641N,Coulsdon Rise,tfl_21-404-_-y05-6_qyPH39c.xml
490005641S,Coulsdon Rise,tfl_21-404-_-y05-6_qyPH39c.xml
490005649E,Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml
490005649W,Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml
490006183H,Downs Road,tfl_21-404-_-y05-6_qyPH39c.xml
40004410093A,Hawarden Road,tfl_21-404-_-y05-6_qyPH39c.xml
40004410093B,Hawarden Road,tfl_21-404-_-y05-6_qyPH39c.xml
490007931E,Caterham Drive / Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml
490007931W,Caterham Drive / Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml
490008324S,Waddington Avenue/Homefield Rd,tfl_21-404-_-y05-6_qyPH39c.xml
490008324N,Waddington Avenue/Homefield Rd,tfl_21-404-_-y05-6_qyPH39c.xml
490008495E,Lacey Drive,tfl_21-404-_-y05-6_qyPH39c.xml
490008895W,Lacey Drive,tfl_21-404-_-y05-6_qyPH39c.xml
490008679S,The Glade / Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml
490008679N,The Glade / Keston Avenue,tfl_21-404-_-y05-6_qyPH39c.xml
490008895N,Coulsdon Road / Lacey Drive,tfl_21-404-_-y05-6_qyPH39c.xml
490009202D,Lion Green Road,tfl_21-404-_-y05-6_qyPH39c.xml
490009684N,Marlpit Lane,tfl_21-404-_-y05-6_qyPH39c.xml
490009684S,Marlpit Lane,tfl_21-404-_-y05-6_qyPH39c.xml
490010285E,Nineacres Way,tfl_21-404-_-y05-6_qyPH39c.xml
490010285W,Nineacres Way,tfl_21-404-_-y05-6_qyPH39c.xml
490010535N,Old Coulsdon / Tudor Rose,tfl_21-404-_-y05-6_qyPH39c.xml
490010535S,Old Coulsdon / Tudor Rose,tfl_21-404-_-y05-6_qyPH39c.xml
490011820E,Coulsdon Wood,tfl_21-404-_-y05-6_qyPH39c.xml
490011820W,Coulsdon Wood,tfl_21-404-_-y05-6_qyPH39c.xml
490012093S,Shirley Avenue,tfl_21-404-_-y05-6_qyPH39c.xml
490012649E,Oasis Academy Byron,tfl_21-404-_-y05-6_qyPH39c.xml
490012649W,Oasis Academy Byron,tfl_21-404-_-y05-6_qyPH39c.xml
490013199E,Army Reserve Centre,tfl_21-404-_-y05-6_qyPH39c.xml
490013317N,The Crossways,tfl_21-404-_-y05-6_qyPH39c.xml
490013317S2,The Crossways,tfl_21-404-_-y05-6_qyPH39c.xml
490015542S1,The Crossways,tfl_21-404-_-y05-6_qyPH39c.xml
40004410092A,Windmill Close,tfl_21-404-_-y05-6_qyPH39c.xml
490014106S2,Caterham Drive /Waddington Ave,tfl_21-404-_-y05-6_qyPH39c.xml
490014106S1,Caterham Drive /Waddington Ave,tfl_21-404-_-y05-6_qyPH39c.xml
490014107E,Homefield Road,tfl_21-404-_-y05-6_qyPH39c.xml
490014107N,Homefield Road,tfl_21-404-_-y05-6_qyPH39c.xml
40004410088B,Westway Common,tfl_21-404-_-y05-6_qyPH39c.xml
40004410038A,York Gate,tfl_21-404-_-y05-6_qyPH39c.xml
490015305W,The Glade,tfl_21-404-_-y05-6_qyPH39c.xml
490015305W1,The Glade,tfl_21-404-_-y05-6_qyPH39c.xml
40004410037A,Westway Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
490013199W,Territorial Army Centre,tfl_21-404-_-y05-7.xml
490001072M,Coulsdon South,tfl_21-404-_-y05-7.xml
490001072P,Coulsdon South,tfl_21-404-_-y05-7.xml
490001253B,Coulsdon Town,tfl_21-404-_-y05-7.xml
490002174Y,Lime Tree Avenue,tfl_21-404-_-y05-7.xml
490002174Z,Lime Tree Avenue,tfl_21-404-_-y05-7.xml
490002175Z,Tullick Way,tfl_21-404-_-y05-7.xml
490002175Y,Tullick Way,tfl_21-404-_-y05-7.xml
490002176Z,Salter Close,tfl_21-404-_-y05-7.xml
490002176Y,Salter Close,tfl_21-404-_-y05-7.xml
490002177Z,Shaftesbury Lane,tfl_21-404-_-y05-7.xml
490002177Y,Shaftesbury Lane,tfl_21-404-_-y05-7.xml
490002178Z,Crawford Crescent,tfl_21-404-_-y05-7.xml
490002179Z,Middle Close,tfl_21-404-_-y05-7.xml
490002180Z,Lacey Green / Goodenough Way,tfl_21-404-_-y05-7.xml
490002181Z,The Admirals Walk,tfl_21-404-_-y05-7.xml
490002182Z,Ellis Road,tfl_21-404-_-y05-7.xml
490002183Z,Lacey Green / Ellis Road,tfl_21-404-_-y05-7.xml
490002184Z,Tollers Lane / Curling Close,tfl_21-404-_-y05-7.xml
490002185Z,Tollers Lane / Drive Road,tfl_21-404-_-y05-7.xml
490002189Z,Farthing Way,tfl_21-404-_-y05-7.xml
49003176N1,Aldercroft,tfl_21-404-_-y05-7.xml
490004116N,Blueberry Gardens,tfl_21-404-_-y05-7.xml
490004116S,Blueberry Gardens,tfl_21-404-_-y05-7.xml
490004667S,Byron Avenue (CR5),tfl_21-404-_-y05-7.xml
40004410090A,Hambledon Road,tfl_21-404-_-y05-7.xml
40004410091A,Caterham-on-the-Hill / Tesco,tfl_21-404-_-y05-7.xml
40004410091B,Caterham-on-the-Hill / Tesco,tfl_21-404-_-y05-7.xml
490004859S,Taunton Lane (CR5),tfl_21-404-_-y05-7.xml
40004410089B,Court Road (CR3),tfl_21-404-_-y05-7.xml
490005638N,Coulsdon Common / The Fox,tfl_21-404-_-y05-7.xml
490005638S,Coulsdon Common / The Fox,tfl_21-404-_-y05-7.xml
490005639N,Coulsdon Court Road,tfl_21-404-_-y05-7.xml
490005639S,Coulsdon Court Road,tfl_21-404-_-y05-7.xml
490005637C,Coulsdon Library,tfl_21-404-_-y05-7.xml
490005641N,Coulsdon Rise,tfl_21-404-_-y05-7.xml
490005641S,Coulsdon Rise,tfl_21-404-_-y05-7.xml
490005649E,Keston Avenue,tfl_21-404-_-y05-7.xml
490005649W,Keston Avenue,tfl_21-404-_-y05-7.xml
490006183H,Downs Road,tfl_21-404-_-y05-7.xml
40004410093A,Hawarden Road,tfl_21-404-_-y05-7.xml
40004410093B,Hawarden Road,tfl_21-404-_-y05-7.xml
490007931E,Caterham Drive / Keston Avenue,tfl_21-404-_-y05-7.xml
490007931W,Caterham Drive / Keston Avenue,tfl_21-404-_-y05-7.xml
490008324S,Waddington Avenue/Homefield Rd,tfl_21-404-_-y05-7.xml
490008324N,Waddington Avenue/Homefield Rd,tfl_21-404-_-y05-7.xml
490008495E,Lacey Drive,tfl_21-404-_-y05-7.xml
490008895W,Lacey Drive,tfl_21-404-_-y05-7.xml
490008679S,The Glade / Keston Avenue,tfl_21-404-_-y05-7.xml
490008679N,The Glade / Keston Avenue,tfl_21-404-_-y05-7.xml
490008895N,Coulsdon Road / Lacey Drive,tfl_21-404-_-y05-7.xml
490009202D,Lion Green Road,tfl_21-404-_-y05-7.xml
490009684N,Marlpit Lane,tfl_21-404-_-y05-7.xml
490009684S,Marlpit Lane,tfl_21-404-_-y05-7.xml
490010285E,Nineacres Way,tfl_21-404-_-y05-7.xml
490010285W,Nineacres Way,tfl_21-404-_-y05-7.xml
490010535N,Old Coulsdon / Tudor Rose,tfl_21-404-_-y05-7.xml
490010535S,Old Coulsdon / Tudor Rose,tfl_21-404-_-y05-7.xml
490011820E,Coulsdon Wood,tfl_21-404-_-y05-7.xml
490011820W,Coulsdon Wood,tfl_21-404-_-y05-7.xml
490012093S,Shirley Avenue,tfl_21-404-_-y05-7.xml
490012649E,Oasis Academy Byron,tfl_21-404-_-y05-7.xml
490012649W,Oasis Academy Byron,tfl_21-404-_-y05-7.xml
490013199E,Army Reserve Centre,tfl_21-404-_-y05-7.xml
490013317N,The Crossways,tfl_21-404-_-y05-7.xml
490013317S2,The Crossways,tfl_21-404-_-y05-7.xml
490015542S1,The Crossways,tfl_21-404-_-y05-7.xml
40004410092A,Windmill Close,tfl_21-404-_-y05-7.xml
490014106S2,Caterham Drive /Waddington Ave,tfl_21-404-_-y05-7.xml
490014106S1,Caterham Drive /Waddington Ave,tfl_21-404-_-y05-7.xml
490014107E,Homefield Road,tfl_21-404-_-y05-7.xml
490014107N,Homefield Road,tfl_21-404-_-y05-7.xml
40004410088B,Westway Common,tfl_21-404-_-y05-7.xml
40004410038A,York Gate,tfl_21-404-_-y05-7.xml
490015305W,The Glade,tfl_21-404-_-y05-7.xml
490015305W1,The Glade,tfl_21-404-_-y05-7.xml
40004410037A,Westway Caterham,tfl_21-404-_-y05-7.xml
490004708W,Oxford Road / Carshalton,tfl_21-407-_-y05-11_HygcEjI.xml
490002023W13,Church Street Tram Stop,tfl_21-407-_-y05-11_HygcEjI.xml
490002042C0,Centrale Tram Stop,tfl_21-407-_-y05-11_HygcEjI.xml
490005858NX,St George's Walk / Croydon Town Centre,tfl_21-407-_-y05-11_HygcEjI.xml
490003117A,Biddulph Road,tfl_21-407-_-y05-11_HygcEjI.xml
490003117B,Biddulph Road,tfl_21-407-_-y05-11_HygcEjI.xml
490003281N,Alton Road,tfl_21-407-_-y05-11_HygcEjI.xml
490003769E,Croydon Road / Plough Lane,tfl_21-407-_-y05-11_HygcEjI.xml
490003769W,Croydon Road / Plough Lane,tfl_21-407-_-y05-11_HygcEjI.xml
40004410110A,Beechwood Gardens,tfl_21-407-_-y05-11_HygcEjI.xml
40004410110B,Beechwood Gardens,tfl_21-407-_-y05-11_HygcEjI.xml
490004708E,Carshalton Road / Cambridge Road,tfl_21-407-_-y05-11_HygcEjI.xml
490004821D,Carshalton High Street,tfl_21-407-_-y05-11_HygcEjI.xml
490004821E,Carshalton High Street,tfl_21-407-_-y05-11_HygcEjI.xml
40004410084C,Caterham Valley,tfl_21-407-_-y05-11_HygcEjI.xml
490005236N,Christchurch Road / Purley Hospital,tfl_21-407-_-y05-11_HygcEjI.xml
490005289E,Church Road (SM6),tfl_21-407-_-y05-11_HygcEjI.xml
490005289W,Church Road (SM6),tfl_21-407-_-y05-11_HygcEjI.xml
490005574V,Coombe Road,tfl_21-407-_-y05-11_HygcEjI.xml
490005574S,Coombe Road,tfl_21-407-_-y05-11_HygcEjI.xml
40004410106C,Court Bushes Road,tfl_21-407-_-y05-11_HygcEjI.xml
490005855C15,Croydon Flyover,tfl_21-407-_-y05-11_HygcEjI.xml
490005855C1,Croydon Flyover,tfl_21-407-_-y05-11_HygcEjI.xml
490006064S,Devon Close,tfl_21-407-_-y05-11_HygcEjI.xml
490006064N,Devon Close,tfl_21-407-_-y05-11_HygcEjI.xml
40004410109A,Farningham Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml
40004410109B,Farningham Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml
490006975N,Foxley Hill Road,tfl_21-407-_-y05-11_HygcEjI.xml
490006975NB,Foxley Hill Road,tfl_21-407-_-y05-11_HygcEjI.xml
490007129S,Garston Lane,tfl_21-407-_-y05-11_HygcEjI.xml
490007129N,Garston Lane,tfl_21-407-_-y05-11_HygcEjI.xml
490007670N,Haling Park Road,tfl_21-407-_-y05-11_HygcEjI.xml
490007670S,Haling Park Road,tfl_21-407-_-y05-11_HygcEjI.xml
40004410111A,Highfield Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml
40004410111B,Highfield Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml
40004410115A,Hillside Road,tfl_21-407-_-y05-11_HygcEjI.xml
40004410115B,Hillside Road,tfl_21-407-_-y05-11_HygcEjI.xml
490008633E,Kenley Treatment Works,tfl_21-407-_-y05-11_HygcEjI.xml
490008633N,Kenley Treatment Works,tfl_21-407-_-y05-11_HygcEjI.xml
490009010E,Lavington Road,tfl_21-407-_-y05-11_HygcEjI.xml
490009010W,Lavington Road,tfl_21-407-_-y05-11_HygcEjI.xml
490009074S,Legion House,tfl_21-407-_-y05-11_HygcEjI.xml
490009074N,Legion House,tfl_21-407-_-y05-11_HygcEjI.xml
490009180E1,Lind Road,tfl_21-407-_-y05-11_HygcEjI.xml
490009180W1,Lind Road,tfl_21-407-_-y05-11_HygcEjI.xml
490009410W,Rectory Grove,tfl_21-407-_-y05-11_HygcEjI.xml
490014111N,Rectory Grove,tfl_21-407-_-y05-11_HygcEjI.xml
490009575I,Manor Place,tfl_21-407-_-y05-11_HygcEjI.xml
40004410118A,Maple Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml
40004410118B,Maple Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml
40004410112A,Marden Lodge School (CR3),tfl_21-407-_-y05-11_HygcEjI.xml
40004410112B,Marden Lodge School (CR3),tfl_21-407-_-y05-11_HygcEjI.xml
490010002N,Montpelier Road,tfl_21-407-_-y05-11_HygcEjI.xml
490010002S,Montpelier Road,tfl_21-407-_-y05-11_HygcEjI.xml
40004410119B,Old Barn Lane,tfl_21-407-_-y05-11_HygcEjI.xml
40004410119A,Old Barn Lane,tfl_21-407-_-y05-11_HygcEjI.xml
490010839C3,Park Street,tfl_21-407-_-y05-11_HygcEjI.xml
490011153W,Pound Street,tfl_21-407-_-y05-11_HygcEjI.xml
490011153F,Pound Street,tfl_21-407-_-y05-11_HygcEjI.xml
490011259D,Purley / Downlands Precinct,tfl_21-407-_-y05-11_HygcEjI.xml
490011259G,Purley / Downlands Precinct,tfl_21-407-_-y05-11_HygcEjI.xml
490011274P,Purley High Street / Purley Station,tfl_21-407-_-y05-11_HygcEjI.xml
490011275D,Purley Way / Waddon Station,tfl_21-407-_-y05-11_HygcEjI.xml
490011275C,Purley Way / Waddon Station,tfl_21-407-_-y05-11_HygcEjI.xml
490011270M,Purley Station / Purley High Street,tfl_21-407-_-y05-11_HygcEjI.xml
490011481N,Sanderstead Road,tfl_21-407-_-y05-11_HygcEjI.xml
490011481S,Sanderstead Road,tfl_21-407-_-y05-11_HygcEjI.xml
490011504W15,Reeves Corner,tfl_21-407-_-y05-11_HygcEjI.xml
490011585E,Carshalton Road / Ringstead Road,tfl_21-407-_-y05-11_HygcEjI.xml
490011585W,Carshalton Road / Ringstead Road,tfl_21-407-_-y05-11_HygcEjI.xml
490011806W11,Ruskin Road,tfl_21-407-_-y05-11_HygcEjI.xml
490011806W16,Ruskin Road,tfl_21-407-_-y05-11_HygcEjI.xml
